Epoch 129 | Loss: 0.1120 | Val [MAE: 0.2384 | MSE: 0.0585 | R2: 0.6507 | MedAE: 0.2242] | Best MAE: 0.2364 | LR: 1.47e-04 | Pat: 18/30
Epoch 130 | Loss: 0.1112 | Val [MAE: 0.2388 | MSE: 0.0574 | R2: 0.6494 | MedAE: 0.2249] | Best MAE: 0.2364 | LR: 1.44e-04 | Pat: 19/30
Epoch 131 | Loss: 0.1103 | Val [MAE: 0.2381 | MSE: 0.0562 | R2: 0.6478 | MedAE: 0.2303] | Best MAE: 0.2364 | LR: 1.40e-04 | Pat: 20/30
Epoch 132 | Loss: 0.1096 | Val [MAE: 0.2382 | MSE: 0.0569 | R2: 0.6413 | MedAE: 0.2330] | Best MAE: 0.2364 | LR: 1.36e-04 | Pat: 21/30
Epoch 133 | Loss: 0.1086 | Val [MAE: 0.2386 | MSE: 0.0577 | R2: 0.6363 | MedAE: 0.2309] | Best MAE: 0.2364 | LR: 1.33e-04 | Pat: 22/30
Epoch 134 | Loss: 0.1077 | Val [MAE: 0.2385 | MSE: 0.0559 | R2: 0.6501 | MedAE: 0.2299] | Best MAE: 0.2364 | LR: 1.29e-04 | Pat: 23/30
Epoch 135 | Loss: 0.1071 | Val [MAE: 0.2382 | MSE: 0.0565 | R2: 0.6475 | MedAE: 0.2308] | Best MAE: 0.2364 | LR: 1.26e-04 | Pat: 24/30
Epoch 136 | Loss: 0.1063 | Val [MAE: 0.2386 | MSE: 0.0585 | R2: 0.6396 | MedAE: 0.2290] | Best MAE: 0.2364 | LR: 1.22e-04 | Pat: 25/30
Epoch 137 | Loss: 0.1059 | Val [MAE: 0.2390 | MSE: 0.0580 | R2: 0.6405 | MedAE: 0.2246] | Best MAE: 0.2364 | LR: 1.19e-04 | Pat: 26/30
Epoch 138 | Loss: 0.1052 | Val [MAE: 0.2389 | MSE: 0.0570 | R2: 0.6410 | MedAE: 0.2320] | Best MAE: 0.2364 | LR: 1.15e-04 | Pat: 27/30
Epoch 139 | Loss: 0.1045 | Val [MAE: 0.2386 | MSE: 0.0564 | R2: 0.6359 | MedAE: 0.2297] | Best MAE: 0.2364 | LR: 1.12e-04 | Pat: 28/30
